SFG_L(R)_7_1_left -5  15  54
SFG_L(R)_7_1_right 7	16	54
SFG_L(R)_7_2_left -18  24  53
SFG_L(R)_7_2_right 22	26	51
SFG_L(R)_7_3_left -11  49  40
SFG_L(R)_7_3_right 13	48	40
SFG_L(R)_7_4_left -18  -1  65
SFG_L(R)_7_4_right 20	4	64
SFG_L(R)_7_5_left -6  -5  58
SFG_L(R)_7_5_right 7	-4	60
SFG_L(R)_7_6_left -5  36  38
SFG_L(R)_7_6_right 6	38	35
SFG_L(R)_7_7_left -8  56  15
SFG_L(R)_7_7_right 8	58	13
MFG_L(R)_7_1_left -27  43  31
MFG_L(R)_7_1_right 30	37	36
MFG_L(R)_7_2_left -42  13  36
MFG_L(R)_7_2_right 42	11	39
MFG_L(R)_7_3_left -28  56  12
MFG_L(R)_7_3_right 28	55	17
MFG_L(R)_7_4_left -41  41  16
MFG_L(R)_7_4_right 42	44	14
MFG_L(R)_7_5_left -33  23  45
MFG_L(R)_7_5_right 42	27	39
MFG_L(R)_7_6_left -32  4  55
MFG_L(R)_7_6_right 34	8	54
MFG_L(R)_7_7_left -26  60  -6
MFG_L(R)_7_7_right 25	61	-4
IFG_L(R)_6_1_left -46  13  24
IFG_L(R)_6_1_right 45	16	25
IFG_L(R)_6_2_left -47  32  14
IFG_L(R)_6_2_right 48	35	13
IFG_L(R)_6_3_left -53  23  11
IFG_L(R)_6_3_right 54	24	12
IFG_L(R)_6_4_left -49  36  -3
IFG_L(R)_6_4_right 51	36	-1
IFG_L(R)_6_5_left -39  23  4
IFG_L(R)_6_5_right 42	22	3
IFG_L(R)_6_6_left -52  13  6
IFG_L(R)_6_6_right 54	14	11
OrG_L(R)_6_1_left -7  54  -7
OrG_L(R)_6_1_right 6	47	-7
OrG_L(R)_6_2_left -36  33  -16
OrG_L(R)_6_2_right 40	39	-14
OrG_L(R)_6_3_left -23  38  -18
OrG_L(R)_6_3_right 23	36	-18
OrG_L(R)_6_4_left -6  52  -19
OrG_L(R)_6_4_right 6	57	-16
OrG_L(R)_6_5_left -10  18  -19
OrG_L(R)_6_5_right 9	20	-19
OrG_L(R)_6_6_left -41  32  -9
OrG_L(R)_6_6_right 42	31	-9
PrG_L(R)_6_1_left -49  -8  39
PrG_L(R)_6_1_right 55	-2	33
PrG_L(R)_6_2_left -32  -9  58
PrG_L(R)_6_2_right 33	-7	57
PrG_L(R)_6_3_left -26  -25  63
PrG_L(R)_6_3_right 34	-19	59
PrG_L(R)_6_4_left -13  -20  73
PrG_L(R)_6_4_right 15	-22	71
PrG_L(R)_6_5_left -52  0  8
PrG_L(R)_6_5_right 54	4	9
PrG_L(R)_6_6_left -49  5  30
PrG_L(R)_6_6_right 51	7	30
PCL_L(R)_2_1_left -8  -38  58
PCL_L(R)_2_1_right 10	-34	54
PCL_L(R)_2_2_left -4  -23  61
PCL_L(R)_2_2_right 5	-21	61
STG_L(R)_6_1_left -32  14  -34
STG_L(R)_6_1_right 31	15	-34
STG_L(R)_6_2_left -54  -32  12
STG_L(R)_6_2_right 54	-24	11
STG_L(R)_6_3_left -50  -11  1
STG_L(R)_6_3_right 51	-4	-1
STG_L(R)_6_4_left -62  -33  7
STG_L(R)_6_4_right 66	-20	6
STG_L(R)_6_5_left -45  11  -20
STG_L(R)_6_5_right 47	12	-20
STG_L(R)_6_6_left -55  -3  -10
STG_L(R)_6_6_right 56	-12	-5
MTG_L(R)_4_1_left -65  -30  -12
MTG_L(R)_4_1_right 65	-29	-13
MTG_L(R)_4_2_left -53  2  -30
MTG_L(R)_4_2_right 51	6	-32
MTG_L(R)_4_3_left -59  -58  4
MTG_L(R)_4_3_right 60	-53	3
MTG_L(R)_4_4_left -58  -20  -9
MTG_L(R)_4_4_right 58	-16	-10
ITG_L(R)_7_1_left -45  -26  -27
ITG_L(R)_7_1_right 46	-14	-33
ITG_L(R)_7_2_left -51  -57  -15
ITG_L(R)_7_2_right 53	-52	-18
ITG_L(R)_7_3_left -43  -2  -41
ITG_L(R)_7_3_right 40	0	-43
ITG_L(R)_7_4_left -56  -16  -28
ITG_L(R)_7_4_right 55	-11	-32
ITG_L(R)_7_5_left -55  -60  -6
ITG_L(R)_7_5_right 54	-57	-8
ITG_L(R)_7_6_left -59  -42  -16
ITG_L(R)_7_6_right 61	-40	-17
ITG_L(R)_7_7_left -55  -31  -27
ITG_L(R)_7_7_right 54	-31	-26
FuG_L(R)_3_1_left -33  -16  -32
FuG_L(R)_3_1_right 33	-15	-34
FuG_L(R)_3_2_left -31  -64  -14
FuG_L(R)_3_2_right 31	-62	-14
FuG_L(R)_3_3_left -42  -51  -17
FuG_L(R)_3_3_right 43	-49	-19
PhG_L(R)_6_1_left -27  -7  -34
PhG_L(R)_6_1_right 28	-8	-33
PhG_L(R)_6_2_left -25  -25  -26
PhG_L(R)_6_2_right 26	-23	-27
PhG_L(R)_6_3_left -28  -32  -18
PhG_L(R)_6_3_right 30	-30	-18
PhG_L(R)_6_4_left -19  -12  -30
PhG_L(R)_6_4_right 19	-10	-30
PhG_L(R)_6_5_left -23  2  -32
PhG_L(R)_6_5_right 22	1	-36
PhG_L(R)_6_6_left -17  -39  -10
PhG_L(R)_6_6_right 19	-36	-11
pSTS_L(R)_2_1_left -54  -40  4
pSTS_L(R)_2_1_right 53	-37	3
pSTS_L(R)_2_2_left -52  -50  11
pSTS_L(R)_2_2_right 57	-40	12
SPL_L(R)_5_1_left -16  -60  63
SPL_L(R)_5_1_right 19	-57	65
SPL_L(R)_5_2_left -15  -71  52
SPL_L(R)_5_2_right 19	-69	54
SPL_L(R)_5_3_left -33  -47  50
SPL_L(R)_5_3_right 35	-42	54
SPL_L(R)_5_4_left -22  -47  65
SPL_L(R)_5_4_right 23	-43	67
SPL_L(R)_5_5_left -27  -59  54
SPL_L(R)_5_5_right 31	-54	53
IPL_L(R)_6_1_left -34  -80  29
IPL_L(R)_6_1_right 45	-71	20
IPL_L(R)_6_2_left -38  -61  46
IPL_L(R)_6_2_right 39	-65	44
IPL_L(R)_6_3_left -51  -33  42
IPL_L(R)_6_3_right 47	-35	45
IPL_L(R)_6_4_left -56  -49  38
IPL_L(R)_6_4_right 57	-44	38
IPL_L(R)_6_5_left -47  -65  26
IPL_L(R)_6_5_right 53	-54	25
IPL_L(R)_6_6_left -53  -31  23
IPL_L(R)_6_6_right 55	-26	26
PCun_L(R)_4_1_left -5  -63  51
PCun_L(R)_4_1_right 6	-65	51
PCun_L(R)_4_2_left -8  -47  57
PCun_L(R)_4_2_right 7	-47	58
PCun_L(R)_4_3_left -12  -67  25
PCun_L(R)_4_3_right 16	-64	25
PCun_L(R)_4_4_left -6  -55  34
PCun_L(R)_4_4_right 6	-54	35
PoG_L(R)_4_1_left -50  -16  43
PoG_L(R)_4_1_right 50	-14	44
PoG_L(R)_4_2_left -56  -14  16
PoG_L(R)_4_2_right 56	-10	15
PoG_L(R)_4_3_left -46  -30  50
PoG_L(R)_4_3_right 48	-24	48
PoG_L(R)_4_4_left -21  -35  68
PoG_L(R)_4_4_right 20	-33	69
INS_L(R)_6_1_left -36  -20  10
INS_L(R)_6_1_right 37	-18	8
INS_L(R)_6_2_left -32  14  -13
INS_L(R)_6_2_right 33	14	-13
INS_L(R)_6_3_left -34  18  1
INS_L(R)_6_3_right 36	18	1
INS_L(R)_6_4_left -38  -4  -9
INS_L(R)_6_4_right 39	-2	-9
INS_L(R)_6_5_left -38  -8  8
INS_L(R)_6_5_right 39	-7	8
INS_L(R)_6_6_left -38  5  5
INS_L(R)_6_6_right 38	5	5
CG_L(R)_7_1_left -4  -39  31
CG_L(R)_7_1_right 4	-37	32
CG_L(R)_7_2_left -3  8  25
CG_L(R)_7_2_right 5	22	12
CG_L(R)_7_3_left -6  34  21
CG_L(R)_7_3_right 5	28	27
CG_L(R)_7_4_left -8  -47  10
CG_L(R)_7_4_right 9	-44	11
CG_L(R)_7_5_left -5  7  37
CG_L(R)_7_5_right 4	6	38
CG_L(R)_7_6_left -7  -23  41
CG_L(R)_7_6_right 6	-20	40
CG_L(R)_7_7_left -4  39  -2
CG_L(R)_7_7_right 5	41	6
MVOcC_L(R)_5_1_left -11  -82  -11
MVOcC_L(R)_5_1_right 10	-85	-9
MVOcC_L(R)_5_2_left -5  -81  10
